number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
122,0.8340112994350282,2025-12-06 16:13:41.303869,2025-12-06 16:13:42.995641,0 days 00:00:01.691772,0.5369688608182192,0.11246392284541226,3,208,0.9686022918266978,COMPLETE
123,0.829566854990584,2025-12-06 16:13:42.995748,2025-12-06 16:13:44.685828,0 days 00:00:01.690080,0.5416504270559185,0.11048888667753136,3,207,0.975301893090666,COMPLETE
124,0.8294915254237287,2025-12-06 16:13:44.685902,2025-12-06 16:13:46.300706,0 days 00:00:01.614804,0.5272640176843217,0.10036343242266199,3,195,0.9334568459244426,COMPLETE
125,0.8283804143126178,2025-12-06 16:13:46.300804,2025-12-06 16:13:48.122848,0 days 00:00:01.822044,0.5601924585881781,0.123187524005292,3,221,0.8911538799004551,COMPLETE
126,0.8227683615819209,2025-12-06 16:13:48.122947,2025-12-06 16:13:49.840854,0 days 00:00:01.717907,0.510059363221688,0.08559319340769819,3,214,0.7595484506576341,COMPLETE
127,0.8284557438794727,2025-12-06 16:13:49.840955,2025-12-06 16:13:51.504940,0 days 00:00:01.663985,0.6002653237200662,0.16459576032689005,3,224,0.9460042436315429,COMPLETE
128,0.8227306967984934,2025-12-06 16:13:51.505015,2025-12-06 16:13:54.484317,0 days 00:00:02.979302,0.9679915983588819,0.13053735640265512,9,187,0.9669490136052247,COMPLETE
129,0.8374199623352165,2025-12-06 16:13:54.484433,2025-12-06 16:13:56.144071,0 days 00:00:01.659638,0.5750166148448551,0.11267509970680051,3,240,0.9873109851056268,COMPLETE
130,0.8216760828625236,2025-12-06 16:13:56.144161,2025-12-06 16:13:59.721043,0 days 00:00:03.576882,0.5903011723457857,0.09650529135066066,10,236,0.982360358935065,COMPLETE
131,0.8306591337099811,2025-12-06 16:13:59.721135,2025-12-06 16:14:01.412502,0 days 00:00:01.691367,0.5647949212005109,0.11471158160214018,3,245,0.9935262461255413,COMPLETE
132,0.8216760828625236,2025-12-06 16:14:01.412606,2025-12-06 16:14:02.869771,0 days 00:00:01.457165,0.5801427319805227,0.11776142662911211,3,211,0.9993285117657374,COMPLETE
133,0.8339736346516007,2025-12-06 16:14:02.869862,2025-12-06 16:14:04.284750,0 days 00:00:01.414888,0.5393836222360585,0.10440284836923952,3,203,0.9694947653872841,COMPLETE
